sample_id	md5sum	assembly
SAMEA104105270	790e66cdbd69df82c284ceb39b7ada70	SAMEA104105270.contigs.fa.gz
SAMEA104105286	d0e2b68b8a8d334c51078f5e14f5c029	SAMEA104105286.contigs.fa.gz
SAMEA104105378	c21e912eee5a3ca0a4af6a6fd70e0a67	SAMEA104105378.contigs.fa.gz
SAMEA104105479	30d254bf3c1ac5fe4b9a89a74215bb8d	SAMEA104105479.contigs.fa.gz
SAMEA104105535	d159ac1e724c2eecf0f715341d9c8bcc	SAMEA104105535.contigs.fa.gz
SAMEA104105589	48ac80375dd2557219db703419643aca	SAMEA104105589.contigs.fa.gz
SAMEA104105606	9e29da5152622b2bbba0e2713c8cc691	SAMEA104105606.contigs.fa.gz
SAMEA104114952	801339c936918a6d8aa12d53e005ab3d	SAMEA104114952.contigs.fa.gz
SAMEA104114953	9af98a0b644fbb3cf7d301c03eafa2cd	SAMEA104114953.contigs.fa.gz
SAMEA104162241	5e3b58319a452f9e90b60eeebdc311a5	SAMEA104162241.contigs.fa.gz
SAMEA104162242	3386a63b7c1c640554fbe67cfbea4223	SAMEA104162242.contigs.fa.gz
SAMEA104162243	ef8992f12634d82d3845b5ce39b82b30	SAMEA104162243.contigs.fa.gz
SAMEA104162245	81e62952733a5788173558c89194b2f3	SAMEA104162245.contigs.fa.gz
SAMEA104162246	1f885fb09cf68bdf531afc7ad6bfdf20	SAMEA104162246.contigs.fa.gz
SAMEA104162247	9bed68faedd41b0d336643df85a68be9	SAMEA104162247.contigs.fa.gz
SAMEA104162248	d4765275b33762fe7a6fb358f14b44e1	SAMEA104162248.contigs.fa.gz
SAMEA104162249	582b42e6347f31eb655bc287da40be25	SAMEA104162249.contigs.fa.gz
SAMEA104162250	cbca6710cfa52616e3629b0c6426c58e	SAMEA104162250.contigs.fa.gz
SAMEA104162251	dc19f134e8a73ebba0d3dab50a9919f8	SAMEA104162251.contigs.fa.gz
SAMEA104162252	181c22e9d98daa0b55b7af09fec45610	SAMEA104162252.contigs.fa.gz
SAMEA104162253	110bbf5a9c692929af3f897151ffcc74	SAMEA104162253.contigs.fa.gz
